holiday,temp,rain_1h,snow_1h,clouds_all,date_time,traffic_volume,tag,monat,wochentag,stunde
None,281.43,0,0,90,2015-10-28 00:00:00,507,1,10,3,0
None,281.43,0,0,90,2015-10-28 01:00:00,339,1,10,3,1
None,281.29,0,0,90,2015-10-28 04:00:00,910,1,10,3,4
None,281.15,0,0,90,2015-10-28 06:00:00,5687,1,10,3,6
None,280.93,0,0,90,2015-10-28 08:00:00,5329,1,10,3,8
None,280.77,0,0,90,2015-10-28 10:00:00,4642,1,10,3,10
None,278.01,0,0,90,2015-10-28 12:00:00,4865,1,10,3,12
None,276.58,0,0,90,2015-10-28 13:00:00,4958,1,10,3,13
None,275.86,0,0,90,2015-10-28 15:00:00,5691,1,10,3,15
None,275.58,0,0,90,2015-10-28 17:00:00,5848,1,10,3,17
None,274.95,0,0,90,2015-10-28 19:00:00,3172,1,10,3,19
None,274.55,0,0,90,2015-10-28 21:00:00,2398,1,10,3,21
None,274.48,0,0,90,2015-10-28 23:00:00,935,1,10,3,23
None,275.08,0,0,90,2015-10-29 01:00:00,317,2,10,4,1
None,275.55,0,0,90,2015-10-29 02:00:00,229,2,10,4,2
None,276.08,0,0,90,2015-10-29 04:00:00,888,2,10,4,4
None,277.08,0,0,90,2015-10-29 06:00:00,5734,2,10,4,6
None,278.93,0,0,90,2015-10-29 08:00:00,5760,2,10,4,8
None,279.68,0,0,90,2015-10-29 10:00:00,4518,2,10,4,10
None,281.08,0,0,90,2015-10-29 12:00:00,4896,2,10,4,12
None,281.42,0,0,90,2015-10-29 13:00:00,4850,2,10,4,13
None,281.22,0,0,90,2015-10-29 15:00:00,6000,2,10,4,15
None,280.55,0,0,90,2015-10-29 17:00:00,6320,2,10,4,17
None,280.15,0,0,90,2015-10-29 19:00:00,3428,2,10,4,19
None,280.02,0,0,90,2015-10-29 21:00:00,2746,2,10,4,21
None,279.87,0,0,90,2015-10-29 23:00:00,1242,2,10,4,23
None,279.51,0,0,90,2015-10-30 00:00:00,668,3,10,5,0
None,279.51,0,0,90,2015-10-30 02:00:00,306,3,10,5,2
None,279.22,0,0,90,2015-10-30 04:00:00,869,3,10,5,4
None,278.55,0,0,90,2015-10-30 06:00:00,5771,3,10,5,6
None,277.89,0,0,90,2015-10-30 08:00:00,5405,3,10,5,8
None,278.86,0,0,90,2015-10-30 10:00:00,4831,3,10,5,10
None,280.72,0,0,40,2015-10-30 12:00:00,5676,3,10,5,12
None,283.01,0,0,1,2015-10-30 13:00:00,5466,3,10,5,13
None,283.82,0,0,1,2015-10-30 15:00:00,6158,3,10,5,15
None,284.15,0,0,40,2015-10-30 17:00:00,5934,3,10,5,17
None,282.89,0,0,40,2015-10-30 19:00:00,4015,3,10,5,19
None,283.01,0,0,90,2015-10-30 21:00:00,3120,3,10,5,21
None,281.69,0,0,90,2015-10-30 23:00:00,2144,3,10,5,23
None,280.42,0,0,90,2015-10-31 00:00:00,1314,4,10,6,0
None,280.58,0,0,90,2015-10-31 03:00:00,411,4,10,6,3
None,280.55,0,0,90,2015-10-31 05:00:00,721,4,10,6,5
None,280.29,0,0,90,2015-10-31 07:00:00,1806,4,10,6,7
None,280.37,0,0,90,2015-10-31 09:00:00,3356,4,10,6,9
None,280.86,0,0,90,2015-10-31 11:00:00,5488,4,10,6,11
None,281.46,0,0,90,2015-10-31 13:00:00,4546,4,10,6,13
None,282.3,0,0,90,2015-10-31 15:00:00,4648,4,10,6,15
None,283.08,0,0,90,2015-10-31 17:00:00,4105,4,10,6,17
None,282.22,0,0,40,2015-10-31 19:00:00,3012,4,10,6,19
None,283,0,0,90,2015-10-31 21:00:00,2880,4,10,6,21
None,282.75,0,0,90,2015-10-31 23:00:00,2017,4,10,6,23
None,282.81,0,0,75,2015-11-01 00:00:00,1825,5,11,0,0
None,281.44,0,0,1,2015-11-01 01:00:00,779,5,11,0,1
None,281.15,0,0,90,2015-11-01 03:00:00,314,5,11,0,3
None,280.28,0,0,75,2015-11-01 05:00:00,447,5,11,0,5
None,279.02,0,0,90,2015-11-01 07:00:00,1266,5,11,0,7
None,279.5,0,0,40,2015-11-01 09:00:00,2890,5,11,0,9
None,283.49,0,0,1,2015-11-01 11:00:00,3790,5,11,0,11
None,284.68,0,0,1,2015-11-01 13:00:00,4046,5,11,0,13
None,285.65,0,0,1,2015-11-01 15:00:00,4365,5,11,0,15
None,285.22,0,0,1,2015-11-01 17:00:00,4628,5,11,0,17
None,283.77,0,0,1,2015-11-01 19:00:00,3017,5,11,0,19
None,283.15,0,0,75,2015-11-01 21:00:00,1733,5,11,0,21
None,282.23,0,0,1,2015-11-01 23:00:00,878,5,11,0,23
None,280.59,0,0,1,2015-11-02 00:00:00,432,6,11,1,0
None,280.37,0,0,40,2015-11-02 01:00:00,288,6,11,1,1
None,280.29,0,0,1,2015-11-02 04:00:00,900,6,11,1,4
None,280.01,0,0,1,2015-11-02 06:00:00,6177,6,11,1,6
None,280.15,0,0,75,2015-11-02 07:00:00,6532,6,11,1,7
None,285.36,0,0,75,2015-11-02 10:00:00,4477,6,11,1,10
None,289.58,0,0,1,2015-11-02 12:00:00,4657,6,11,1,12
None,292.8,0,0,1,2015-11-02 13:00:00,4690,6,11,1,13
None,293.29,0,0,1,2015-11-02 15:00:00,5717,6,11,1,15
None,291,0,0,20,2015-11-02 17:00:00,6198,6,11,1,17
None,285.17,0,0,1,2015-11-02 19:00:00,2915,6,11,1,19
None,282.51,0,0,1,2015-11-02 21:00:00,2108,6,11,1,21
None,280.86,0,0,1,2015-11-02 23:00:00,972,6,11,1,23
None,280.15,0,0,1,2015-11-03 00:00:00,486,7,11,2,0
None,279.87,0,0,1,2015-11-03 01:00:00,302,7,11,2,1
None,279.79,0,0,90,2015-11-03 02:00:00,229,7,11,2,2
None,279.73,0,0,1,2015-11-03 04:00:00,891,7,11,2,4
None,279.08,0,0,1,2015-11-03 06:00:00,6110,7,11,2,6
None,280.43,0,0,1,2015-11-03 08:00:00,5719,7,11,2,8
None,285.64,0,0,40,2015-11-03 10:00:00,4389,7,11,2,10
None,290.15,0,0,1,2015-11-03 12:00:00,5042,7,11,2,12
None,293.55,0,0,1,2015-11-03 14:00:00,5646,7,11,2,14
None,294.15,0,0,5,2015-11-03 16:00:00,6548,7,11,2,16
None,290.62,0,0,5,2015-11-03 18:00:00,4446,7,11,2,18
None,289.44,0,0,1,2015-11-03 20:00:00,2640,7,11,2,20
None,288.29,0,0,1,2015-11-03 22:00:00,1584,7,11,2,22
None,287.14,0,0,1,2015-11-03 23:00:00,994,7,11,2,23
None,287.15,0,0,1,2015-11-04 01:00:00,336,8,11,3,1
None,286.87,0,0,1,2015-11-04 03:00:00,367,8,11,3,3
None,286.01,0,0,1,2015-11-04 05:00:00,3025,8,11,3,5
None,285.22,0,0,1,2015-11-04 07:00:00,6469,8,11,3,7
None,286.23,0,0,75,2015-11-04 08:00:00,6098,8,11,3,8
None,288.29,0,0,90,2015-11-04 11:00:00,4852,8,11,3,11
None,288.44,0,0,90,2015-11-04 12:00:00,5028,8,11,3,12
None,288.44,0,0,90,2015-11-04 14:00:00,5226,8,11,3,14
None,288.48,0,0,90,2015-11-04 16:00:00,6670,8,11,3,16
None,288.58,0,0,90,2015-11-04 18:00:00,4523,8,11,3,18
None,288.62,0,0,90,2015-11-04 20:00:00,2783,8,11,3,20
None,289.15,0,0,90,2015-11-04 22:00:00,1702,8,11,3,22
None,289.51,0,0,90,2015-11-04 23:00:00,1012,8,11,3,23
None,289.44,0,0,40,2015-11-05 01:00:00,358,9,11,4,1
None,289.51,0,0,1,2015-11-05 03:00:00,372,9,11,4,3
None,288.88,0,0,1,2015-11-05 05:00:00,2940,9,11,4,5
None,288.21,0,0,75,2015-11-05 07:00:00,6588,9,11,4,7
None,288.68,0,0,90,2015-11-05 09:00:00,5304,9,11,4,9
None,289.62,0,0,90,2015-11-05 11:00:00,4814,9,11,4,11
None,290.99,0,0,90,2015-11-05 12:00:00,5039,9,11,4,12
None,290.8,0,0,90,2015-11-05 14:00:00,5370,9,11,4,14
None,286.76,0,0,90,2015-11-05 16:00:00,6743,9,11,4,16
None,282.76,0,0,90,2015-11-05 18:00:00,4739,9,11,4,18
None,280.95,0,0,90,2015-11-05 20:00:00,2815,9,11,4,20
None,279.65,0,0,90,2015-11-05 22:00:00,3939,9,11,4,22
None,278.87,0,0,90,2015-11-05 23:00:00,1319,9,11,4,23
None,278.48,0,0,90,2015-11-06 01:00:00,381,10,11,5,1
None,278.42,0,0,90,2015-11-06 03:00:00,393,10,11,5,3
None,278.44,0,0,90,2015-11-06 05:00:00,2708,10,11,5,5
None,278.51,0,0,90,2015-11-06 07:00:00,6809,10,11,5,7
None,278.58,0,0,90,2015-11-06 09:00:00,5087,10,11,5,9
None,279.79,0,0,75,2015-11-06 11:00:00,5179,10,11,5,11
None,280.69,0,0,90,2015-11-06 12:00:00,5475,10,11,5,12
None,280.73,0,0,90,2015-11-06 13:00:00,5226,10,11,5,13
None,280.37,0,0,90,2015-11-06 15:00:00,5872,10,11,5,15
None,279.94,0,0,90,2015-11-06 17:00:00,6028,10,11,5,17
None,278.73,0,0,1,2015-11-06 19:00:00,3515,10,11,5,19
None,277.02,0,0,75,2015-11-06 21:00:00,2884,10,11,5,21
None,277.08,0,0,40,2015-11-06 23:00:00,1713,10,11,5,23
None,276.81,0,0,75,2015-11-07 00:00:00,1100,11,11,6,0
None,276.49,0,0,40,2015-11-07 01:00:00,639,11,11,6,1
None,275.22,0,0,1,2015-11-07 04:00:00,376,11,11,6,4
None,273.75,0,0,1,2015-11-07 06:00:00,1256,11,11,6,6
None,273.22,0,0,5,2015-11-07 08:00:00,3047,11,11,6,8
None,276.48,0,0,5,2015-11-07 10:00:00,4024,11,11,6,10
None,280.15,0,0,1,2015-11-07 12:00:00,4680,11,11,6,12
None,281.79,0,0,40,2015-11-07 14:00:00,4490,11,11,6,14
None,282.68,0,0,1,2015-11-07 16:00:00,4542,11,11,6,16
None,279.42,0,0,1,2015-11-07 18:00:00,4209,11,11,6,18
None,277.42,0,0,1,2015-11-07 20:00:00,2794,11,11,6,20
None,276.88,0,0,1,2015-11-07 22:00:00,3601,11,11,6,22
None,276.95,0,0,1,2015-11-07 23:00:00,1999,11,11,6,23
None,277.5,0,0,1,2015-11-08 01:00:00,741,12,11,0,1
None,277.28,0,0,1,2015-11-08 02:00:00,589,12,11,0,2
None,277.79,0,0,1,2015-11-08 04:00:00,304,12,11,0,4
None,277.79,0,0,1,2015-11-08 06:00:00,802,12,11,0,6
None,278.15,0,0,5,2015-11-08 08:00:00,2181,12,11,0,8
None,281.86,0,0,1,2015-11-08 09:00:00,3159,12,11,0,9
None,286.08,0,0,1,2015-11-08 12:00:00,4235,12,11,0,12
None,288.28,0,0,1,2015-11-08 13:00:00,3966,12,11,0,13
None,288.41,0,0,5,2015-11-08 15:00:00,3933,12,11,0,15
None,286.75,0,0,1,2015-11-08 17:00:00,3914,12,11,0,17
None,283.94,0,0,1,2015-11-08 19:00:00,2922,12,11,0,19
None,282.88,0,0,5,2015-11-08 21:00:00,1931,12,11,0,21
None,281.43,0,0,1,2015-11-08 23:00:00,850,12,11,0,23
None,281,0,0,1,2015-11-09 00:00:00,465,13,11,1,0
None,280.57,0,0,1,2015-11-09 01:00:00,299,13,11,1,1
None,280.15,0,0,1,2015-11-09 03:00:00,329,13,11,1,3
None,279.75,0,0,1,2015-11-09 05:00:00,2845,13,11,1,5
None,279.15,0,0,5,2015-11-09 07:00:00,6514,13,11,1,7
None,280.51,0,0,1,2015-11-09 09:00:00,4930,13,11,1,9
None,284.22,0,0,1,2015-11-09 11:00:00,4510,13,11,1,11
None,287.36,0,0,1,2015-11-09 12:00:00,4587,13,11,1,12
None,289.08,0,0,1,2015-11-09 14:00:00,5096,13,11,1,14
None,289.55,0,0,5,2015-11-09 16:00:00,6319,13,11,1,16
None,285.49,0,0,5,2015-11-09 18:00:00,4329,13,11,1,18
None,283.79,0,0,5,2015-11-09 20:00:00,2446,13,11,1,20
None,282.15,0,0,1,2015-11-09 22:00:00,1428,13,11,1,22
None,281.01,0,0,1,2015-11-09 23:00:00,931,13,11,1,23
None,280.02,0,0,1,2015-11-10 00:00:00,471,14,11,2,0
None,279.68,0,0,1,2015-11-10 01:00:00,317,14,11,2,1
None,279.01,0,0,1,2015-11-10 03:00:00,303,14,11,2,3
None,277.68,0,0,1,2015-11-10 05:00:00,2956,14,11,2,5
None,277.48,0,0,1,2015-11-10 07:00:00,6504,14,11,2,7
None,279.08,0,0,1,2015-11-10 09:00:00,5176,14,11,2,9
None,284.5,0,0,40,2015-11-10 11:00:00,4724,14,11,2,11
None,287.68,0,0,40,2015-11-10 12:00:00,5030,14,11,2,12
None,288.55,0,0,1,2015-11-10 14:00:00,5142,14,11,2,14
None,288.15,0,0,75,2015-11-10 16:00:00,6517,14,11,2,16
None,285.15,0,0,1,2015-11-10 18:00:00,4646,14,11,2,18
None,284.3,0,0,90,2015-11-10 20:00:00,2740,14,11,2,20
None,283.88,0,0,75,2015-11-10 22:00:00,3119,14,11,2,22
Veterans Day,283.35,0,0,75,2015-11-11 00:00:00,559,15,11,3,0
Veterans Day,280.94,0,0,1,2015-11-11 01:00:00,355,15,11,3,1
